ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains
188885.0,Grasse,2018.0,2,4,90,14,95,8.17537,6346,2.5,158.0,"Set Collection, Worker Placement",Unknown
99479.0,Mare Balticum,2011.0,3,5,30,6,298,6.3429,6347,1.7273,371.0,"Pick-up and Deliver, Set Collection",Family Games
286081.0,Herrlof,2020.0,2,3,45,10,137,7.08883,6348,1.2222,327.0,"Auction/Bidding, Hand Management, Trick-taking",Unknown
172309.0,Monster Trick,2015.0,2,5,40,10,222,6.49654,6349,2.0667,425.0,Trick-taking,Unknown
260786.0,Unstable Unicorns: Chaos,2019.0,2,8,45,14,158,7.22209,6350,1.8,1199.0,"Hand Management, Set Collection, Take That",Unknown
156878.0,tummple!,0.0,2,10,20,8,234,6.49726,6351,1.0,465.0,"Dice Rolling, Stacking and Balancing",Unknown
1566.0,Simply Cosmic,1995.0,2,4,45,10,226,6.45044,6352,2.7647,596.0,Variable Player Powers,Unknown
27802.0,Anno 1701: Das Kartenspiel,2007.0,2,2,60,10,270,6.3227,6353,2.2059,670.0,"Dice Rolling, Modular Board, Trading",Strategy Games
27710.0,Catan Dice Game,2007.0,1,4,15,7,5163,5.69691,6354,1.2336,11759.0,"Dice Rolling, Paper-and-Pencil, Set Collection",Family Games
256438.0,Snow Time,2018.0,3,5,40,10,242,6.49999,6355,1.2857,524.0,"Campaign / Battle Card Driven, Grid Movement",Unknown
5171.0,War Without Mercy,1998.0,2,6,360,12,149,7.09597,6356,3.56,525.0,"Hexagon Grid, Simulation",Wargames
14054.0,Akaba,2004.0,2,4,20,5,256,6.35621,6357,1.2308,362.0,"Dice Rolling, Memory, Pick-up and Deliver",Children's Games
8003.0,Warhammer Ancient Battles,1998.0,2,4,120,14,211,6.68483,6358,3.52,480.0,"Dice Rolling, Line of Sight, Simulation, Variable Player Powers","Thematic Games, Wargames"
198611.0,Mondrian: The Dice Game,2016.0,2,4,30,10,284,6.31178,6359,1.375,352.0,Hand Management,Unknown
146207.0,Dead Man's Hand,2013.0,2,6,45,11,95,7.83621,6360,2.1667,209.0,"Dice Rolling, Measurement Movement, Simulation",Unknown
103469.0,Risk: Metal Gear Solid,2011.0,3,5,120,10,206,7.04898,6361,2.3529,806.0,"Area Majority / Influence, Area Movement, Dice Rolling, Player Elimination, Set Collection","Thematic Games, Wargames"
207845.0,Treasure Lair,2016.0,2,4,30,14,185,6.7493,6362,1.6667,428.0,Set Collection,Unknown
1726.0,Alexander the Great,1971.0,2,2,120,12,396,6.19141,6363,2.7368,1121.0,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Simulation",Wargames
182635.0,Mr Lister's Quiz Shootout,2015.0,3,8,30,14,256,6.33335,6364,1.0,747.0,"Paper-and-Pencil, Set Collection, Simultaneous Action Selection, Take That, Trading",Party Games
198630.0,Hold the Line: The American Revolution,2016.0,1,2,120,10,102,7.86324,6365,2.2857,340.0,"Action Points, Hexagon Grid, Modular Board",Wargames
4657.0,Replay Baseball,1973.0,1,2,30,8,104,7.99048,6366,2.5,195.0,Unknown,Unknown
139747.0,Arena Rex,2013.0,2,4,30,12,88,8.33523,6367,2.4,181.0,"Dice Rolling, Time Track, Variable Player Powers",Unknown
175763.0,Behind the Throne,2016.0,2,4,30,8,322,6.30988,6368,2.0,628.0,"Card Drafting, Line Drawing, Push Your Luck, Set Collection, Take That",Unknown
1515.0,Upwords,1982.0,2,4,90,8,2862,5.7352,6369,1.6923,6106.0,"Hand Management, Tile Placement",Family Games
91817.0,City Square Off,2011.0,2,2,15,8,210,6.55024,6370,1.1111,395.0,Tile Placement,Unknown
75957.0,Slither,2010.0,2,2,40,10,87,8.04609,6371,3.75,67.0,Pattern Building,Abstract Games
8790.0,Activity,1990.0,3,16,45,12,946,5.93438,6372,1.1324,1438.0,"Acting, Dice Rolling, Line Drawing, Team-Based Game",Party Games
317372.0,Exit: The Game - The Gate Between Worlds,2020.0,1,4,120,12,78,8.04333,6373,0.0,205.0,Cooperative Game,Unknown
255293.0,One Night Ultimate Super Villains,2019.0,3,10,10,8,162,6.97624,6374,1.3333,784.0,"Hidden Roles, Role Playing, Traitor Game, Variable Player Powers, Voting",Unknown
27490.0,Bloom,2008.0,2,5,60,8,236,6.43008,6375,2.2,314.0,"Layering, Set Collection, Tile Placement","Family Games, Strategy Games"
151456.0,Krosmaster: Arena - Duel Pack 1,2013.0,2,2,10,10,136,7.18159,6376,2.0,828.0,"Action Points, Push Your Luck, Variable Player Powers",Unknown
165522.0,Rory's Story Cubes: Intergalactic,2014.0,1,10,20,6,170,6.79176,6377,1.0,780.0,"Cooperative Game, Dice Rolling, Pattern Recognition, Storytelling",Unknown
235533.0,Beta Colony,2018.0,2,4,80,14,164,6.84429,6378,2.8333,306.0,"Area Majority / Influence, Dice Rolling, Roll / Spin and Move, Rondel, Tile Placement, Variable Player Powers",Unknown
214747.0,Mega Man Pixel Tactics: Bass Orange Edition,2017.0,2,2,45,10,116,7.31586,6379,2.0,642.0,Unknown,Unknown
205078.0,Barcelona: The Rose of Fire,2016.0,2,4,90,10,264,6.48371,6380,3.0,464.0,"Area Majority / Influence, Tile Placement",Unknown
751.0,Minos,1991.0,2,4,120,16,284,6.36126,6381,2.6667,655.0,"Area Majority / Influence, Area Movement, Dice Rolling, Point to Point Movement",Strategy Games
4288.0,"Panzer: A Tactical Game of Armored Combat on the Eastern Front, 1941-1945",1979.0,2,2,120,12,129,7.21589,6382,3.75,420.0,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Line of Sight, Scenario / Mission / Campaign Game, Simulation",Wargames
1383.0,Ab in den Pool!,1999.0,2,6,10,6,253,6.40296,6383,1.0,475.0,"Memory, Player Elimination, Take That",Family Games
163277.0,Cardline: Dinosaurs,2014.0,2,8,15,7,457,6.0577,6384,1.1667,995.0,Unknown,Family Games
17395.0,Prussia's Glory II: Four Battles of the Seven Years War,2005.0,1,2,90,12,140,7.04364,6385,2.8636,650.0,Hexagon Grid,Wargames
315881.0,Funfair,2021.0,2,4,60,14,85,7.99437,6386,2.0,245.0,"Card Drafting, Hand Management, Variable Player Powers",Unknown
608.0,Siesta,1999.0,2,4,60,8,304,6.29079,6387,2.52,479.0,"Pattern Building, Pattern Recognition, Tile Placement",Abstract Games
249275.0,The Silver River,2020.0,1,4,120,14,172,7.10355,6388,3.1,288.0,"Area Majority / Influence, Dice Rolling, Hand Management, Secret Unit Deployment, Variable Player Powers",Unknown
123129.0,We Didn't Playtest This: Legacies,2012.0,2,15,10,12,427,6.1103,6389,1.0,1283.0,"Hand Management, Legacy Game, Rock-Paper-Scissors",Unknown
514.0,True Colors,1989.0,3,6,30,18,499,6.04443,6390,1.1538,984.0,"Betting and Bluffing, Voting",Party Games
9556.0,Snatch,2001.0,2,10,45,8,273,6.37509,6391,1.7143,469.0,"Pattern Building, Pattern Recognition",Unknown
3874.0,Ultimate Mastermind,1972.0,2,2,10,8,660,5.94049,6392,2.2963,1421.0,Pattern Recognition,Abstract Games
276924.0,Time Chase,2019.0,3,6,30,10,212,6.54275,6393,2.0,515.0,Trick-taking,Unknown
206757.0,Glory: A Game of Knights,2021.0,1,4,120,14,96,8.13542,6394,3.0909,41.0,"Dice Rolling, Modular Board, Set Collection, Worker Placement",Strategy Games
7239.0,Medieval,2003.0,3,5,120,12,394,6.19835,6395,2.4074,747.0,Unknown,"Strategy Games, Wargames"
5035.0,"PanzerArmee Afrika: Rommel in the Desert, April 1941 - November 1942",1973.0,2,2,180,12,335,6.3043,6396,2.6522,1081.0,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Simulation, Variable Set-up",Wargames
19969.0,Truco,0.0,2,6,15,10,134,7.27315,6397,1.9286,128.0,"Betting and Bluffing, Hand Management, Team-Based Game, Trick-taking",Abstract Games
112694.0,Hockey Blast Pro Hockey Game,2010.0,1,2,45,12,86,7.98698,6398,2.2,164.0,"Dice Rolling, Simulation",Unknown
303006.0,Harry Potter: House Cup Competition,2020.0,2,4,75,11,173,6.97624,6399,2.0,534.0,Worker Placement,Unknown
162591.0,Heroes,2015.0,2,4,30,12,414,6.13108,6400,2.3077,778.0,"Card Drafting, Deck Bag and Pool Building, Dice Rolling, Grid Movement, Hand Management, Player Elimination, Team-Based Game, Variable Player Powers",Unknown
264925.0,Nocturion,2019.0,2,4,70,14,237,6.59013,6401,2.4444,960.0,"Dice Rolling, Variable Player Powers, Worker Placement",Unknown
66608.0,Two by Two,2010.0,2,4,45,8,511,5.99687,6402,1.5106,875.0,"Set Collection, Tile Placement",Family Games
2353.0,Muscat,2001.0,3,5,45,10,222,6.4747,6403,2.3684,258.0,"Rock-Paper-Scissors, Tile Placement",Strategy Games
285972.0,HEXplore It: The Sands of Shurax,2020.0,1,6,180,14,89,8.38202,6404,4.1333,620.0,"Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Push Your Luck, Role Playing, Storytelling, Variable Player Powers",Unknown
29055.0,Down in Flames: Locked-On,2018.0,1,6,30,10,91,7.86264,6405,1.8,302.0,"Hand Management, Solo / Solitaire Game, Trick-taking",Wargames
39345.0,Karelia '44: The Last Campaign of the Continuation War,2011.0,1,2,450,0,129,7.22171,6406,2.5882,564.0,"Dice Rolling, Hexagon Grid",Wargames
147883.0,Lost Legacy: Hyakunen Senso to Ryu no Miko,2013.0,2,4,10,10,124,7.17863,6407,1.1429,335.0,"Hand Management, Memory, Player Elimination",Unknown
63778.0,Word on the Street Junior,2010.0,2,8,30,8,161,6.86316,6408,1.1429,386.0,"Area Majority / Influence, Team-Based Game",Children's Games
131232.0,Mafia City,2012.0,3,5,60,12,177,6.71497,6409,2.5,231.0,"Area Majority / Influence, Auction/Bidding, Hand Management",Strategy Games
5965.0,October War: Doctrine and Tactics in the Yom Kippur Conflict,1977.0,2,2,600,12,169,6.89385,6410,2.88,660.0,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Scenario / Mission / Campaign Game, Simulation",Wargames
8139.0,The Lord of the Rings: Combat Hex Tradeable Miniatures Game,2003.0,2,2,60,13,301,6.47754,6411,2.4054,658.0,Action Points,Customizable Games
2904.0,John Prados' Third Reich,2001.0,2,5,360,12,283,6.43891,6412,4.0196,742.0,"Chit-Pull System, Dice Rolling, Hexagon Grid, Simulation",Wargames
197285.0,Merchants & Marauders: Broadsides,2016.0,2,2,45,14,236,6.52155,6413,2.6667,999.0,Hand Management,Unknown
183643.0,Jeju Island,2015.0,2,4,30,7,226,6.46618,6414,1.1667,454.0,"Area Movement, Pick-up and Deliver, Set Collection",Unknown
184085.0,Perfect Alibi,2015.0,3,5,45,10,233,6.42933,6415,2.1429,352.0,Variable Player Powers,Unknown
108157.0,Kalimambo,2011.0,3,7,30,8,373,6.13579,6416,1.0,525.0,Simultaneous Action Selection,Family Games
